TreeDepth,Last Write Time,Hive Offset,Type,Key,Name,Data,Volatile
0,-,0xa709c48be000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsAppRuntime.CBS.1.6_6000.690.32.100_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c4c0a000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.StartMenuExperienceHost_10.0.26100.4768_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c4e4f000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.WebExperience_525.31002.150.0_x64__cw5n1h2txyewy\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c5606000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c5bb9000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsStore_22511.1401.5.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c5c5c000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.2.8_8.2501.31001.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c6378000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WindowsStore_8wekyb3d8bbwe\\Settings\\settings.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c5168000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\Settings\\settings.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c6e99000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsNotepad_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\ce9eac042756c71d.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c6fb3000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WindowsNotepad_8wekyb3d8bbwe\\SystemAppData\\Helium\\User.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c6f70000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WindowsNotepad_8wekyb3d8bbwe\\SystemAppData\\Helium\\UserClasses.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c6f75000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsNotepad_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\ce9eac042756c71d_COM15.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c6f9b000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsNotepad_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\ce9eac042756c71d.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7078000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c6f9f000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsAppRuntime.1.7_7000.676.1651.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c70d1000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WindowsNotepad_8wekyb3d8bbwe\\Settings\\settings.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c73ee000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\7c4e86a7f23a4f32.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c73f0000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\SystemAppData\\Helium\\User.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c73f2000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\SystemAppData\\Helium\\UserClasses.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c73f4000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\7c4e86a7f23a4f32_COM15.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c73f6000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\7c4e86a7f23a4f32.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c73f8000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsTerminal_1.23.13503.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c77ce000,Key,\\??\\C:\\WINDOWS\\ServiceProfiles\\NetworkService\\AppData\\Local\\Microsoft\\Windows\\DeliveryOptimization\\State\\dosvcState.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7d57000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.ShellExperienceHost_10.0.26100.7462_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c4e84000,Key,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\d19244caf908a0fd.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7a55000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\User.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7e6a000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\UserClasses.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c5ee2000,Key,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\d19244caf908a0fd_COM15.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c2d10000,Key,\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\d19244caf908a0fd.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c2cec000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\81d060ca2aba6fa4.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c2cee000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\SystemAppData\\Helium\\User.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7e71000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\SystemAppData\\Helium\\UserClasses.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7e73000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\81d060ca2aba6fa4_COM15.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7eeb000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\81d060ca2aba6fa4.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7eef000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7eed000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c7e9c000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\Settings\\settings.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709ca0c3000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.ScreenSketch_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\96a0c0b13dbf0935.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709ca03f000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.ScreenSketch_8wekyb3d8bbwe\\SystemAppData\\Helium\\User.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c8e77000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.ScreenSketch_8wekyb3d8bbwe\\SystemAppData\\Helium\\UserClasses.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709ca0d9000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.ScreenSketch_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\96a0c0b13dbf0935_COM15.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709c8d96000,Key,\\??\\C:\\ProgramData\\Packages\\Microsoft.ScreenSketch_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\96a0c0b13dbf0935.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709ca0cc000,Key,\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.ScreenSketch_8wekyb3d8bbwe\\Settings\\settings.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709ca0de000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
0,-,0xa709ca024000,Key,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\Run,-,-,-
