Key,Name,Data
\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.StartMenuExperienceHost_10.0.26100.4768_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\Settings\\settings.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.WebExperience_525.31002.150.0_x64__cw5n1h2txyewy\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\d19244caf908a0fd.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\User.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\SystemAppData\\Helium\\UserClasses.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\d19244caf908a0fd_COM15.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\d19244caf908a0fd.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\81d060ca2aba6fa4.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\SystemAppData\\Helium\\User.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\SystemAppData\\Helium\\UserClasses.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\81d060ca2aba6fa4_COM15.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\Microsoft.WidgetsPlatformRuntime_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\81d060ca2aba6fa4.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
