Session ID,Session Type,Process ID,Process,User Name,Create Time
0.0,-,3684,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-26 18:42:54.000000 UTC
0.0,-,3696,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:42:38.000000 UTC
0.0,-,3736,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-26 18:42:33.000000 UTC
0.0,-,4140,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:42:41.000000 UTC
0.0,-,4308,AggregatorHost,WORKGROUP/INFECTED$,2025-12-26 18:42:41.000000 UTC
0.0,-,4580,NisSrv.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-26 18:42:49.000000 UTC
0.0,-,4644,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-26 18:42:51.000000 UTC
0.0,-,5164,cmd.exe,WORKGROUP/administrator,2025-12-26 19:12:44.000000 UTC
0.0,-,5188,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:42:57.000000 UTC
0.0,-,5284,powershell.exe,WORKGROUP/administrator,2025-12-26 19:12:55.000000 UTC
0.0,-,5436,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 19:10:14.000000 UTC
0.0,-,5624,SearchIndexer.,WORKGROUP/INFECTED$,2025-12-26 18:43:05.000000 UTC
0.0,-,5748,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:43:01.000000 UTC
0.0,-,5780,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:45:00.000000 UTC
0.0,-,5896,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:43:03.000000 UTC
0.0,-,6012,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:45:00.000000 UTC
0.0,-,6140,sshd.exe,WORKGROUP/INFECTED$,2025-12-26 19:12:39.000000 UTC
0.0,-,6364,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 19:10:47.000000 UTC
0.0,-,7444,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-26 18:44:50.000000 UTC
0.0,-,7480,SecurityHealth,WORKGROUP/INFECTED$,2025-12-26 18:44:00.000000 UTC
0.0,-,7592,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:44:59.000000 UTC
0.0,-,7692,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:50:40.000000 UTC
0.0,-,7768,sshd.exe,-,2025-12-26 19:12:39.000000 UTC
0.0,-,8064,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:49:08.000000 UTC
0.0,-,8180,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:44:45.000000 UTC
0.0,-,8208,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 19:10:01.000000 UTC
0.0,-,8912,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:45:07.000000 UTC
0.0,-,8960,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-26 18:45:07.000000 UTC
0.0,-,9040,svchost.exe,WORKGROUP/INFECTED$,2025-12-26 18:49:45.000000 UTC
0.0,-,9056,conhost.exe,WORKGROUP/administrator,2025-12-26 19:12:44.000000 UTC
1.0,Console,412,msedgewebview2,infected/Administrator,2025-12-26 18:50:37.000000 UTC
1.0,-,684,csrss.exe,/SYSTEM,2025-12-26 18:42:22.000000 UTC
1.0,-,740,winlogon.exe,/SYSTEM,2025-12-26 18:42:22.000000 UTC
1.0,-,944,fontdrvhost.ex,Font Driver Host/UMFD-1,2025-12-26 18:42:23.000000 UTC
1.0,-,972,svchost.exe,infected/Administrator,2025-12-26 18:43:06.000000 UTC
1.0,Console,996,msedgewebview2,infected/Administrator,2025-12-26 18:50:38.000000 UTC
1.0,-,1040,dwm.exe,/SYSTEM,2025-12-26 18:42:24.000000 UTC
1.0,Console,1136,msedgewebview2,infected/Administrator,2025-12-26 18:50:38.000000 UTC
1.0,-,1232,OpenConsole.ex,infected/Administrator,2025-12-26 18:44:48.000000 UTC
1.0,-,1536,msedgewebview2,infected/Administrator,2025-12-26 18:44:21.000000 UTC
1.0,-,1872,dllhost.exe,infected/Administrator,2025-12-26 18:54:59.000000 UTC
1.0,Console,1888,msedge.exe,infected/Administrator,2025-12-26 18:45:02.000000 UTC
1.0,-,2396,svchost.exe,infected/Administrator,2025-12-26 18:44:54.000000 UTC
1.0,-,2996,msedgewebview2,-,2025-12-26 18:50:38.000000 UTC
1.0,Console,3220,msedge.exe,infected/Administrator,2025-12-26 18:45:01.000000 UTC
1.0,-,3288,userinit.exe,-,2025-12-26 18:42:55.000000 UTC
1.0,-,3332,msedgewebview2,-,2025-12-26 18:44:22.000000 UTC
1.0,-,4072,msedgewebview2,-,2025-12-26 18:44:22.000000 UTC
1.0,-,4164,msedgewebview2,infected/Administrator,2025-12-26 18:44:22.000000 UTC
1.0,-,4248,msedgewebview2,infected/Administrator,2025-12-26 18:44:21.000000 UTC
1.0,Console,4268,explorer.exe,infected/Administrator,2025-12-26 18:42:55.000000 UTC
1.0,Console,4452,OneDrive.exe,infected/Administrator,2025-12-26 18:44:33.000000 UTC
1.0,-,4508,ShellHost.exe,infected/Administrator,2025-12-26 18:42:56.000000 UTC
1.0,Console,4720,conhost.exe,infected/Administrator,2025-12-26 18:44:48.000000 UTC
1.0,-,4820,sihost.exe,infected/Administrator,2025-12-26 18:42:52.000000 UTC
1.0,-,4844,svchost.exe,infected/Administrator,2025-12-26 18:42:52.000000 UTC
1.0,-,4912,svchost.exe,infected/Administrator,2025-12-26 18:42:52.000000 UTC
1.0,-,4940,svchost.exe,infected/Administrator,2025-12-26 18:42:53.000000 UTC
1.0,-,4992,taskhostw.exe,infected/Administrator,2025-12-26 18:42:53.000000 UTC
1.0,Console,5064,powershell.exe,infected/Administrator,2025-12-26 18:55:00.000000 UTC
1.0,-,5264,CrossDeviceRes,infected/Administrator,2025-12-26 18:42:58.000000 UTC
1.0,Console,5352,MRCv120.exe,infected/Administrator,2025-12-26 19:13:40.000000 UTC
1.0,Console,5380,SecurityHealth,infected/Administrator,2025-12-26 18:44:00.000000 UTC
1.0,-,5604,RuntimeBroker.,infected/Administrator,2025-12-26 18:43:05.000000 UTC
1.0,-,5620,Notepad.exe,infected/Administrator,2025-12-26 18:44:38.000000 UTC
1.0,-,5700,OpenConsole.ex,infected/Administrator,2025-12-26 18:55:00.000000 UTC
1.0,-,5728,svchost.exe,infected/Administrator,2025-12-26 18:43:01.000000 UTC
1.0,-,5844,WidgetService.,infected/Administrator,2025-12-26 18:50:33.000000 UTC
1.0,-,6036,RuntimeBroker.,infected/Administrator,2025-12-26 18:44:47.000000 UTC
1.0,-,6100,StartMenuExper,infected/Administrator,2025-12-26 18:43:04.000000 UTC
1.0,Console,6112,FileCoAuth.exe,infected/Administrator,2025-12-26 19:13:36.000000 UTC
1.0,-,6264,RuntimeBroker.,infected/Administrator,2025-12-26 18:49:46.000000 UTC
1.0,Console,6316,msedgewebview2,infected/Administrator,2025-12-26 18:50:37.000000 UTC
1.0,-,6392,msedgewebview2,-,2025-12-26 18:43:08.000000 UTC
1.0,-,6532,msedgewebview2,-,2025-12-26 18:50:38.000000 UTC
1.0,-,6768,backgroundTask,-,2025-12-26 18:43:24.000000 UTC
1.0,-,6856,ShellExperienc,-,2025-12-26 18:49:45.000000 UTC
1.0,Console,6912,msedge.exe,infected/Administrator,2025-12-26 18:45:02.000000 UTC
1.0,-,6988,ctfmon.exe,infected/Administrator,2025-12-26 18:43:25.000000 UTC
1.0,Console,7112,VBoxTray.exe,infected/Administrator,2025-12-26 18:44:27.000000 UTC
1.0,-,7128,OneDrive.Sync.,-,2025-12-26 18:49:03.000000 UTC
1.0,-,7192,Widgets.exe,infected/Administrator,2025-12-26 18:50:33.000000 UTC
1.0,-,7272,WindowsTermina,infected/Administrator,2025-12-26 18:44:49.000000 UTC
1.0,-,7376,msedgewebview2,infected/Administrator,2025-12-26 18:44:22.000000 UTC
