TreeDepth,Session ID,Session Type,Process ID,Process,User Name,Create Time
0,0.0,-,4288,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-25 14:27:04.000000 UTC
0,0.0,-,4428,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:27:06.000000 UTC
0,0.0,-,4496,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:27:07.000000 UTC
0,0.0,-,2716,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:28:57.000000 UTC
0,0.0,-,2416,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-25 14:28:58.000000 UTC
0,0.0,-,4908,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-25 14:29:03.000000 UTC
0,0.0,-,4688,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:29:03.000000 UTC
0,0.0,-,4920,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:29:04.000000 UTC
0,0.0,-,3212,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:29:04.000000 UTC
0,0.0,-,1152,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:29:05.000000 UTC
0,0.0,-,1572,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-25 14:29:06.000000 UTC
0,0.0,-,980,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:29:06.000000 UTC
0,0.0,-,3976,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-25 14:29:06.000000 UTC
0,0.0,-,2636,SearchIndexer.,WORKGROUP/INFECTED$,2025-12-25 14:29:06.000000 UTC
0,0.0,-,2256,svchost.exe,NT AUTHORITY/LOCAL SERVICE,2025-12-25 14:30:01.000000 UTC
0,0.0,-,3288,MicrosoftEdgeU,-,2025-12-25 14:30:03.000000 UTC
0,0.0,-,5544,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:30:09.000000 UTC
0,0.0,-,5136,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:30:18.000000 UTC
0,0.0,-,7380,SecurityHealth,WORKGROUP/INFECTED$,2025-12-25 14:31:15.000000 UTC
0,0.0,-,8860,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:34:47.000000 UTC
0,0.0,-,3808,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:36:43.000000 UTC
0,0.0,-,4056,svchost.exe,-,2025-12-25 14:36:45.000000 UTC
0,0.0,-,5948,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 14:36:56.000000 UTC
0,0.0,-,4788,WmiPrvSE.exe,WORKGROUP/INFECTED$,2025-12-25 15:01:51.000000 UTC
0,0.0,-,4752,svchost.exe,-,2025-12-25 15:01:52.000000 UTC
0,0.0,-,1548,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 15:03:19.000000 UTC
0,0.0,-,3740,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 15:22:20.000000 UTC
0,0.0,-,5452,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 15:22:23.000000 UTC
0,0.0,-,8224,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 15:58:51.000000 UTC
0,0.0,-,8476,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 16:11:45.000000 UTC
0,0.0,-,9444,svchost.exe,WORKGROUP/INFECTED$,2025-12-25 16:13:59.000000 UTC
0,1.0,-,652,csrss.exe,/SYSTEM,2025-12-25 14:26:35.000000 UTC
0,1.0,-,708,winlogon.exe,/SYSTEM,2025-12-25 14:26:35.000000 UTC
0,1.0,-,904,fontdrvhost.ex,Font Driver Host/UMFD-1,2025-12-25 14:26:37.000000 UTC
0,1.0,-,816,dwm.exe,/SYSTEM,2025-12-25 14:26:38.000000 UTC
0,1.0,-,3384,sihost.exe,infected/Administrator,2025-12-25 14:30:02.000000 UTC
0,1.0,-,1992,svchost.exe,infected/Administrator,2025-12-25 14:30:02.000000 UTC
0,1.0,-,1072,svchost.exe,infected/Administrator,2025-12-25 14:30:02.000000 UTC
0,1.0,-,4828,svchost.exe,infected/Administrator,2025-12-25 14:30:03.000000 UTC
0,1.0,-,180,taskhostw.exe,infected/Administrator,2025-12-25 14:30:03.000000 UTC
0,1.0,-,5168,userinit.exe,-,2025-12-25 14:30:05.000000 UTC
0,1.0,Console,5212,explorer.exe,infected/Administrator,2025-12-25 14:30:05.000000 UTC
0,1.0,-,5280,ShellHost.exe,infected/Administrator,2025-12-25 14:30:06.000000 UTC
0,1.0,-,5728,CrossDeviceRes,infected/Administrator,2025-12-25 14:30:10.000000 UTC
0,1.0,-,5668,svchost.exe,infected/Administrator,2025-12-25 14:30:21.000000 UTC
0,1.0,-,5816,dllhost.exe,-,2025-12-25 14:30:22.000000 UTC
0,1.0,-,6096,svchost.exe,infected/Administrator,2025-12-25 14:30:29.000000 UTC
0,1.0,-,6272,StartMenuExper,infected/Administrator,2025-12-25 14:30:32.000000 UTC
0,1.0,-,6416,RuntimeBroker.,infected/Administrator,2025-12-25 14:30:33.000000 UTC
0,1.0,-,6500,svchost.exe,infected/Administrator,2025-12-25 14:30:34.000000 UTC
0,1.0,-,6720,ctfmon.exe,infected/Administrator,2025-12-25 14:30:36.000000 UTC
0,1.0,Console,7452,SecurityHealth,infected/Administrator,2025-12-25 14:31:14.000000 UTC
0,1.0,-,7144,UserOOBEBroker,infected/Administrator,2025-12-25 14:31:22.000000 UTC
0,1.0,-,6236,SearchHost.exe,infected/Administrator,2025-12-25 14:31:23.000000 UTC
0,1.0,-,7156,msedgewebview2,infected/Administrator,2025-12-25 14:31:25.000000 UTC
0,1.0,-,4872,msedgewebview2,-,2025-12-25 14:31:25.000000 UTC
0,1.0,-,2928,msedgewebview2,-,2025-12-25 14:31:26.000000 UTC
0,1.0,-,5788,msedgewebview2,-,2025-12-25 14:31:26.000000 UTC
0,1.0,-,7552,msedgewebview2,-,2025-12-25 14:31:26.000000 UTC
0,1.0,-,7180,msedgewebview2,-,2025-12-25 14:31:26.000000 UTC
0,1.0,-,8796,msedge.exe,-,2025-12-25 14:32:15.000000 UTC
0,1.0,-,8828,OneDriveSetup.,-,2025-12-25 14:34:47.000000 UTC
