PID,Process,Args
2520,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -s W32Time
2524,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
2556,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService
2612,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc
2620,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc
2664,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k appmodel -p -s StateRepository
2724,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s ShellHWDetection
2828,spoolsv.exe,C:\\WINDOWS\\System32\\spoolsv.exe
2888,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p
2900,svchost.exe,-
2916,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k NetworkService -p -s LanmanWorkstation
2976,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k NetSvcs -p -s iphlpsvc
2996,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-data-dir=""""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView"""" --webview-exe-name=Widgets.exe --webview-exe-version=525.31002.10.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=2280,i,17017113435250776108,7280478572591234689,524288 --field-trial-handle=1832,i,430228509372327380,3106266081178604829,262144 --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2792 /prefetch:13 /pfhostedapp:1f3d0ca33106b1de2a6f2986b70740d61f4ac3d5"""
3092,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s LanmanServer
3100,MpDefenderCore,"""""""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25110.6-0\\MpDefenderCoreService.exe"""""""
3112,cmdkey.exe,-
3116,sshd.exe,C:\\WINDOWS\\System32\\OpenSSH\\sshd.exe
3136,svchost.exe,-
3152,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Winmgmt
3172,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s WpnService
3200,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k WSAIFabricSvcGroup -p -s WSAIFabricSvc
3212,MsMpEng.exe,"""""""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25110.6-0\\MsMpEng.exe"""""""
3220,msedge.exe,"""""""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"""" --no-startup-window --win-session-start"""
3288,userinit.exe,-
3300,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k InvSvcGroup -p -s InventorySvc
