PID,Process,Args
1536,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --type=crashpad-handler --user-data-dir=C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView /prefetch:4 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f --monitor-self-annotation=ptype=crashpad-handler --database=C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView\\Crashpad --metrics-dir=C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=143.0.7499.147 """"--annotation=exe=C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --annotation=plat=Win64 """"--annotation=prod=Edge WebView2"""" --annotation=ver=143.0.3650.96 --initial-client-data=0x16c,0x170,0x174,0x148,0x17c,0x7ffd0e7462b8,0x7ffd0e7462c4,0x7ffd0e7462d0"""
1544,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s nsi
1624,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netprofm -p -s netprofm
1640,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s UserManager
1872,dllhost.exe,"""""""C:\\WINDOWS\\system32\\DllHost.exe"""" /Processid:{CA6CC9F1-867A-481E-951E-A28C5E4F01EA}"""
1888,msedge.exe,"""""""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"""" --type=crashpad-handler """"--user-data-dir=C:\\Users\\administrator\\AppData\\Local\\Microsoft\\Edge\\User Data"""" /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler """"--database=C:\\Users\\administrator\\AppData\\Local\\Microsoft\\Edge\\User Data\\Crashpad"""" """"--metrics-dir=C:\\Users\\administrator\\AppData\\Local\\Microsoft\\Edge\\User Data"""" --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=143.0.7499.147 """"--annotation=exe=C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"""" --annotation=plat=Win64 --annotation=prod=Edge --annotation=ver=143.0.3650.96 --initial-client-data=0x268,0x26c,0x270,0x264,0x28c,0x7ffd0e7462b8,0x7ffd0e7462c4,0x7ffd0e7462d0"""
1932,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k NetworkService -p
1964,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceHttp -p
2076,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k utcsvc -p
2124,VBoxService.ex,C:\\WINDOWS\\System32\\VBoxService.exe
2148,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
2208,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNoNetwork -p -s DPS
2212,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s EventSystem
2224,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
2232,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s Themes
2264,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s FontCache
2384,MemCompression,-
2396,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UnistackSvcGroup
2412,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcsRedirectionGuard -p -s SENS
2456,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
2484,svchost.exe,-
2516,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalService -p -s LicenseManager
